NODES,NODES,f
1,1,0
1,2,54.9653
1,3,0
1,4,0
1,5,57.2282
1,6,47.1328
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,58.9815
2,1,0
2,2,0
2,3,57.6245
2,4,0
2,5,0
2,6,0
2,7,52.09
2,8,51.3604
2,9,54.748
2,10,0
2,11,0
2,12,0
3,1,53.3441
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,57.6235
3,8,52.9856
3,9,0
3,10,0
3,11,40.4009
3,12,0
4,1,52.2437
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,52.7027
4,10,51.6103
4,11,50.0704
4,12,0
5,1,52.7218
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,54.2648
5,8,55.9874
5,9,52.1943
5,10,0
5,11,0
5,12,0
6,1,0
6,2,50.1142
6,3,0
6,4,53.5435
6,5,58.0785
6,6,0
6,7,0
6,8,0
6,9,0
6,10,51.8727
6,11,0
6,12,0
7,1,0
7,2,0
7,3,0
7,4,59.3428
7,5,0
7,6,54.8262
7,7,0
7,8,0
7,9,0
7,10,0
7,11,57.2111
7,12,57.3276
8,1,56.2769
8,2,0
8,3,0
8,4,41.2339
8,5,0
8,6,58.3297
8,7,59.4446
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
9,1,0
9,2,0
9,3,33.123
9,4,59.2235
9,5,0
9,6,0
9,7,0
9,8,59.3641
9,9,0
9,10,0
9,11,0
9,12,56.78
10,1,0
10,2,0
10,3,59.4549
10,4,0
10,5,49.1433
10,6,0
10,7,0
10,8,0
10,9,52.9947
10,10,0
10,11,54.4
10,12,0
11,1,0
11,2,50.7776
11,3,0
11,4,0
11,5,52.5978
11,6,0
11,7,0
11,8,0
11,9,0
11,10,59.2036
11,11,0
11,12,56.6481
12,1,0
12,2,58.2777
12,3,52.2426
12,4,0
12,5,0
12,6,58.5031
12,7,0
12,8,0
12,9,0
12,10,57.1935
12,11,0
12,12,0
